Year,,B_bchar,B_rfuel,B_ifuel,P_paper,R_paper,P_CB,R_CB,ComB_BC,ComB_HA,P_PR,S_Lumber,S_Veneer,S_PR,Construction,Home_Application,Construction_B,Construction_E
2068,49,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2069,50,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2070,51,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2071,52,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2072,53,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2073,54,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2074,55,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2075,56,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2076,57,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2077,58,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2078,59,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2079,60,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2080,61,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2081,62,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2082,63,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
