Year,Harveted_Timber,Biomass,Pulpwood,Sawlog,Biochar,Residential_Fuel,Industry_Fuel,Paper,Composite_Board,Lumber,Veneer,Construction_B,Construction_E,Home_Application,Processing_Residual
2088,1989598196,656567404.6,955007134.0,378023657.2,90606302.0,170050958.0,395910145.0,505779178.0,333311913.0,154611676.0,17011065.0,257872411.15,42667473.0,204394769.85,559556920.0
2089,1978529206,652914637.9,949694018.8,375920549.1,90102220.0,169104891.0,393707527.0,502965311.0,331457555.0,153751505.0,16916425.0,256437756.25,42430095.0,203257633.75,556443864.0
2090,1967521797,649282193.1,944410462.8,373829141.5,89600943.0,168164088.0,391517162.0,500167099.0,329613514.0,152896119.0,16822311.0,255011081.70000002,42194038.0,202126823.3,553348127.0
2091,1953755252,644739233.2,937802521.0,371213497.9,88974014.0,166987461.0,388777758.0,496667481.0,327307243.0,151826321.0,16704607.0,253226796.65,41898811.0,200712563.35,549476408.0
2092,1940085030,640228059.8,931240814.3,368616155.7,88351472.0,165819067.0,386057520.0,493192351.0,325017109.0,150764008.0,16587727.0,251454994.95000002,41605650.0,199308199.05,545631779.0
2093,1926510457,635748450.7,924725019.2,366036986.8,87733286.0,164658849.0,383356316.0,489741535.0,322742997.0,149709128.0,16471664.0,249695590.35000002,41314539.0,197913659.65,541814050.0
2094,1913030863,631300184.9,918254814.4,363475864.1,87119426.0,163506748.0,380674011.0,486314864.0,320484799.0,148661628.0,16356414.0,247948496.45000002,41025465.0,196528878.55,538023034.0
2095,1899645585,626883043.2,911829881.0,360932661.2,86509860.0,162362708.0,378010475.0,482912170.0,318242399.0,147621458.0,16241970.0,246213626.45000002,40738415.0,195153786.55,534258542.0
2096,1886353963,622496807.8,905449902.2,358407253.0,85904559.0,161226673.0,375365575.0,479533284.0,316015691.0,146588566.0,16128326.0,244490895.05,40453372.0,193788315.95000002,530520391.0
2097,1873155341,618141262.4,899114563.4,355899514.7,85303494.0,160098587.0,372739181.0,476178040.0,313804562.0,145562902.0,16015478.0,242780218.10000002,40170324.0,192432398.9,526808395.0
2098,1860049067,613816192.3,892823552.4,353409322.8,84706635.0,158978394.0,370131164.0,472846272.0,311608904.0,144544413.0,15903420.0,241081510.20000002,39889257.0,191085969.8,523122371.0
2099,1847034498,609521384.2,886576558.9,350936554.5,84113951.0,157866039.0,367541395.0,469537815.0,309428609.0,143533051.0,15792145.0,239394687.95000002,39610156.0,189748961.05,519462139.0
2100,1834110989,605256626.5,880373274.9,348481088.0,83525414.0,156761466.0,364969746.0,466252507.0,307263569.0,142528765.0,15681649.0,237719667.95000002,39333007.0,188421307.05,515827516.0
